sample,variable,true_dist,dist_after_bbmerge,dist_after_human,dist_after_lsh_GTDB,dist_after_lsh_BacArchKraken,dist_after_kraken_GTDB,dist_after_kraken_BacArchKraken,err_after_bbmerge,err_after_human,err_lsh_BacArchKraken,err_kraken_BacArchKraken,err_lsh_GTDB,err_kraken_GTDB
Drosophila_ananassae,Drosophila_ananassae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Drosophila_biarmipes,Drosophila_ananassae,0.12238525530013278,0.11034679271345726,0.11111237905670734,0.11005050925821193,0.10947630796889474,0.11014259859460708,0.10915561612579994,-0.09836530190792071,-0.0921097579588348,-0.1054779621906303,-0.10809830924394442,-0.10078621000276221,-0.10003375550022173
Drosophila_bipectinata,Drosophila_ananassae,0.0697931763151931,0.06641725128438636,0.06701257849952957,0.0651060800755533,0.06478075029513175,0.06513988204533849,0.06443788922667415,-0.048370416837897244,-0.03984053975572152,-0.07181828202551964,-0.07673081196840696,-0.06715694122405899,-0.06667262496894913
Drosophila_erecta,Drosophila_ananassae,0.1230164571933342,0.12445371044417775,0.12603920694230364,0.12585656128266431,0.12495879929384425,0.12623965843071994,0.12448215874133114,0.011683422556908256,0.024571913530389206,0.015789286611119318,0.01191467858396722,0.023087188122045865,0.026201382407884725
Drosophila_eugracilis,Drosophila_ananassae,0.1186376640580502,0.111454010082486,0.11262315123308207,0.11330133331004945,0.11250467233210626,0.11297412673956453,0.11207598175778666,-0.06055120886440572,-0.050696487264155675,-0.05169514904594734,-0.055308593205719736,-0.044980072646993816,-0.04773810546130155
Drosophila_mauritiana,Drosophila_ananassae,0.12148916234138185,0.12193176726500032,0.12360484590462485,0.12486045368478038,0.1238465773684584,0.12516604995473946,0.12349714350694707,0.0036431638434938135,0.017414586803207822,0.019404323658535623,0.01652806823972362,0.02774972909867694,0.030265149108738044
Drosophila_mojavensis,Drosophila_ananassae,0.1654162626556558,0.16229086256163586,0.16618226757532215,0.17200833660098205,0.16858687322279498,0.17171249926745358,0.1674933903111261,-0.018894152508608077,0.004630771529767524,0.019167465859988585,0.01255697367431292,0.03985142596921606,0.03806298432037821
Drosophila_persimilis,Drosophila_ananassae,0.13804217052459522,0.13572041856158967,0.1377813220639731,0.14291244383583526,0.14149481720591328,0.1436994451369017,0.14036096570450166,-0.01681914993209902,-0.001889628796988931,0.025011535737210804,0.016797730513033998,0.03528105428023748,0.04098222007671566
Drosophila_pseudoobscura,Drosophila_ananassae,0.13779171212560082,0.14031952563176553,0.14292637974894384,0.14638003887896545,0.1446301854235954,0.14670524716970068,0.1435332491066763,0.018345178147293372,0.0372639801344702,0.04962906108432076,0.041668231655630536,0.06232832599928898,0.06468847005816242
Drosophila_sechellia,Drosophila_ananassae,0.12130030814503755,0.10499581029061757,0.10545274589089317,0.12591434473724994,0.12526098035395827,0.12608225671531115,0.1247833264135586,-0.13441431521282582,-0.13064733714604923,0.03265179016845523,0.028714010061346648,0.038038127542886664,0.03942239424945131
Drosophila_simulans,Drosophila_ananassae,0.12086733328440802,0.12300607408862395,0.12456969013090967,0.1237965342661731,0.12323882038588065,0.12450251254527699,0.12279046538602913,0.017694944912727956,0.030631575512547998,0.01962057933298137,0.015911098965804633,0.024234844123453066,0.03007577946900818
Drosophila_virilis,Drosophila_ananassae,0.16355465631257393,0.1450731240310057,0.1464499735632432,0.16828660244500893,0.1655056490298964,0.16816146771995633,0.16394023477034414,-0.11299912028336055,-0.10458083636971775,0.011928689536015816,0.002357489945338629,0.028931894934202534,0.028166800696754157
Drosophila_willistoni,Drosophila_ananassae,0.16045614524988427,0.1516019785755629,0.15435714500109732,0.1642895306462877,0.1607707813908067,0.1642256005113153,0.15873741802713806,-0.05518122512872569,-0.03801038744442451,0.001960885576756348,-0.01071150762141005,0.023890548974821502,0.023492121511212355
Drosophila_yakuba,Drosophila_ananassae,0.12364454094861088,0.12470650263234663,0.12638285847498876,0.12649341899298794,0.12571847815285708,0.1272929717443143,0.12520612906248607,0.00858882790609511,0.022146691680597325,0.016773382701207734,0.01262965677169861,0.023040872023303533,0.029507415108765603
Drosophila_ananassae,Drosophila_biarmipes,0.12238525530013278,0.11034679271345726,0.11111237905670734,0.11005050925821193,0.10947630796889474,0.11014259859460708,0.10915561612579994,-0.09836530190792071,-0.0921097579588348,-0.1054779621906303,-0.10809830924394442,-0.10078621000276221,-0.10003375550022173
Drosophila_biarmipes,Drosophila_biarmipes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Drosophila_bipectinata,Drosophila_biarmipes,0.1217994237163288,0.10671362016542883,0.10735646369234676,0.10825158909507836,0.10780400242562238,0.10824174210945314,0.10744872150655638,-0.12385775803040622,-0.11857987158970257,-0.11490548036829633,-0.1178224146872423,-0.11123069558032879,-0.11131154149342727
Drosophila_erecta,Drosophila_biarmipes,0.09853436009083394,0.09749305139767894,0.09841579827645874,0.09969847945909416,0.09956993988009244,0.1000038241115242,0.09890535286059476,-0.01056797539655269,-0.0012032535073643262,0.010509834217260363,0.003765110662096199,0.011814349503940303,0.014913214226343304
Drosophila_eugracilis,Drosophila_biarmipes,0.09443909190027257,0.08948892081762283,0.09037910926071456,0.09127179121067153,0.09100934878080537,0.09121851727599416,0.0906748913774148,-0.05241654682445597,-0.042990487920461354,-0.036316985376024145,-0.03985849977075968,-0.033538025682687655,-0.03410213460840272
