sample,db,method,prct_matched,prct_not_matched,p,c
10x_Cil.fq,gtdb,lsh,1.3049934750326249,98.69500652496737,4,3
10x_Oryza_sativa.fq,gtdb,lsh,2.239488802555987,97.76051119744402,4,3
10x_Prunus_persica.fq,gtdb,lsh,1.6514917425412872,98.34850825745872,4,3
15x_Arabidopsis_lyrata.fq,gtdb,lsh,1.1744941275293623,98.82550587247064,4,3
20x_Arabidopsis_thaliana.fq,gtdb,lsh,1.0634946825265874,98.93650531747343,4,3
250x_Bathycoccus_prasinos.fq,gtdb,lsh,3.206983965080175,96.79301603491986,4,3
2x_Nicotiana_sylvestris.fq,gtdb,lsh,0.530997345013275,99.46900265498672,4,3
2x_Zea_mays.fq,gtdb,lsh,2.7029864850675747,97.29701351493244,4,3
5x_Coffee_arabica.fq,gtdb,lsh,0.6599967000164999,99.34000329998351,4,3
10x_Cca.fq,gtdb,lsh,57.8757106214469,42.1242893785531,5,0
10x_Cil.fq,gtdb,lsh,58.11270943645282,41.887290563547175,5,0
10x_Oryza_sativa.fq,gtdb,lsh,56.62021689891551,43.37978310108449,5,0
10x_Prunus_persica.fq,gtdb,lsh,56.395218023909884,43.604781976090116,5,0
15x_Arabidopsis_lyrata.fq,gtdb,lsh,59.81220093899531,40.18779906100469,5,0
20x_Arabidopsis_thaliana.fq,gtdb,lsh,58.22370888145559,41.77629111854441,5,0
250x_Bathycoccus_prasinos.fq,gtdb,lsh,57.736211318943404,42.263788681056596,5,0
2x_Nicotiana_sylvestris.fq,gtdb,lsh,49.18175409122954,50.81824590877046,5,0
2x_Zea_mays.fq,gtdb,lsh,59.25420372898136,40.74579627101864,5,0
5x_Coffee_arabica.fq,gtdb,lsh,56.494217528912365,43.505782471087635,5,0
10x_Cca.fq,gtdb,lsh,21.146894265528672,78.85310573447133,5,1
10x_Cil.fq,gtdb,lsh,21.14239428802856,78.85760571197143,5,1
10x_Oryza_sativa.fq,gtdb,lsh,20.836395818020907,79.1636041819791,5,1
10x_Prunus_persica.fq,gtdb,lsh,18.60440697796511,81.39559302203489,5,1
15x_Arabidopsis_lyrata.fq,gtdb,lsh,21.470892645536768,78.52910735446324,5,1
20x_Arabidopsis_thaliana.fq,gtdb,lsh,19.50140249298753,80.49859750701245,5,1
250x_Bathycoccus_prasinos.fq,gtdb,lsh,20.617396913015433,79.38260308698456,5,1
2x_Nicotiana_sylvestris.fq,gtdb,lsh,13.652931735341324,86.34706826465867,5,1
2x_Zea_mays.fq,gtdb,lsh,22.26438867805661,77.73561132194341,5,1
5x_Coffee_arabica.fq,gtdb,lsh,17.935410322948385,82.06458967705161,5,1
10x_Cca.fq,gtdb,lsh,9.767951160244198,90.2320488397558,5,2
10x_Cil.fq,gtdb,lsh,9.902950485247572,90.09704951475244,5,2
10x_Oryza_sativa.fq,gtdb,lsh,9.802450987745061,90.19754901225494,5,2
10x_Prunus_persica.fq,gtdb,lsh,7.990460047699761,92.00953995230024,5,2
15x_Arabidopsis_lyrata.fq,gtdb,lsh,9.356953215233924,90.64304678476609,5,2
20x_Arabidopsis_thaliana.fq,gtdb,lsh,7.793961030194849,92.20603896980516,5,2
250x_Bathycoccus_prasinos.fq,gtdb,lsh,10.04244978775106,89.95755021224896,5,2
2x_Nicotiana_sylvestris.fq,gtdb,lsh,4.927475362623187,95.0725246373768,5,2
2x_Zea_mays.fq,gtdb,lsh,9.407952960235198,90.59204703976481,5,2
5x_Coffee_arabica.fq,gtdb,lsh,6.907465462672687,93.09253453732731,5,2
10x_Cca.fq,gtdb,lsh,5.6954715226423875,94.3045284773576,5,3
10x_Cil.fq,gtdb,lsh,5.68197159014205,94.31802840985794,5,3
10x_Oryza_sativa.fq,gtdb,lsh,5.557472212638936,94.44252778736107,5,3
10x_Prunus_persica.fq,gtdb,lsh,4.480477597612011,95.519522402388,5,3
15x_Arabidopsis_lyrata.fq,gtdb,lsh,4.7939760301198495,95.20602396988016,5,3
20x_Arabidopsis_thaliana.fq,gtdb,lsh,3.8579807100964496,96.14201928990354,5,3
250x_Bathycoccus_prasinos.fq,gtdb,lsh,6.485967570162148,93.51403242983784,5,3
2x_Nicotiana_sylvestris.fq,gtdb,lsh,2.34598827005865,97.65401172994137,5,3
2x_Zea_mays.fq,gtdb,lsh,4.4309778451107755,95.56902215488924,5,3
5x_Coffee_arabica.fq,gtdb,lsh,3.3164834175829117,96.68351658241708,5,3
10x_Cca.fq,gtdb,lsh,95.23452382738087,4.765476172619131,6,0
10x_Cil.fq,gtdb,lsh,95.44752276238621,4.552477237613815,6,0
10x_Oryza_sativa.fq,gtdb,lsh,94.9480252598737,5.0519747401262975,6,0
10x_Prunus_persica.fq,gtdb,lsh,95.76702116489416,4.2329788351058255,6,0
15x_Arabidopsis_lyrata.fq,gtdb,lsh,96.11651941740291,3.883480582597088,6,0
20x_Arabidopsis_thaliana.fq,gtdb,lsh,96.13301933490331,3.866980665096676,6,0
250x_Bathycoccus_prasinos.fq,gtdb,lsh,96.22151889240551,3.7784811075944735,6,0
2x_Nicotiana_sylvestris.fq,gtdb,lsh,93.31753341233295,6.68246658766705,6,0
