"DB","METHOD","x.x","x.y","condition"
"gtdb","kraken",59.1179331235248,10.106,"0.01"
"gtdb","lsh",58.9954505836588,2.67328663356683,"p3c1"
"kraken_std_bact_arch","kraken",25.7260841856806,3.396,"0.01"
"kraken_std_bact_arch","lsh",29.4726423534415,1.24934375328123,"p3c1"
"tol_all_kmers","kraken",34.6311369000787,4.204,"0.01"
"tol_all_kmers","lsh",37.7976790722406,1.51154244228779,"p3c1"
